,ix,phrase,start_char,end_char,ner_label,dataset_label,label_in_phrase
38,0,Appendix B.,5049,5060,PERSON,national education longitudinal study,0
39,0,fourth,5435,5441,ORDINAL,national education longitudinal study,0
40,0,the National Education Longitudinal Study,5455,5496,ORG,national education longitudinal study,1
41,0,2000,5510,5514,DATE,national education longitudinal study,0
42,0,fourth,5659,5665,ORDINAL,national education longitudinal study,0
43,0,the National Education Longitudinal Study,5679,5720,ORG,national education longitudinal study,1
44,0,2000,5734,5738,DATE,national education longitudinal study,0
45,0,WWC,6252,6255,ORG,national education longitudinal study,0
46,0,two,6316,6319,CARDINAL,national education longitudinal study,0
47,0,WWC,6491,6494,ORG,national education longitudinal study,0
48,0,1,7059,7060,CARDINAL,national education longitudinal study,0
49,0,WWC,7186,7189,ORG,national education longitudinal study,0
50,0,two,7316,7319,CARDINAL,national education longitudinal study,0
51,0,two,7367,7370,CARDINAL,national education longitudinal study,0
52,0,WWC,7407,7410,ORG,national education longitudinal study,0
53,0,WWC,7556,7559,ORG,national education longitudinal study,0
54,0,two,7653,7656,CARDINAL,national education longitudinal study,0
55,0,0.02,7740,7744,CARDINAL,national education longitudinal study,0
56,0,0.00,7749,7753,CARDINAL,national education longitudinal study,0
57,0,WWC,7795,7798,ORG,national education longitudinal study,0
58,0,two,7873,7876,CARDINAL,national education longitudinal study,0
59,0,WWC,8671,8674,ORG,national education longitudinal study,0
60,0,WWC,8910,8913,ORG,national education longitudinal study,0
61,0,WWC,9489,9492,ORG,national education longitudinal study,0
62,0,50th,10074,10078,ORDINAL,national education longitudinal study,0
63,0,WWC,10193,10196,ORG,national education longitudinal study,0
64,0,QED,10322,10325,ORG,national education longitudinal study,0
65,0,RCT,10486,10489,ORG,national education longitudinal study,0
66,0,WWC,11291,11294,ORG,national education longitudinal study,0
67,0,less than 5%,11396,11408,PERCENT,national education longitudinal study,0
68,0,0.25,11513,11517,CARDINAL,national education longitudinal study,0
69,0,the WWC Procedures and Standards Handbook,11581,11622,ORG,national education longitudinal study,0
70,0,2.1,11632,11635,CARDINAL,national education longitudinal study,0
71,1,the National Education Longitudinal Study of 1988,418,467,ORG,national education longitudinal study,1
72,1,NELS:88,469,476,ORG,national education longitudinal study,0
73,1,Berktold,479,487,PERSON,national education longitudinal study,0
74,1,Geis,489,493,PERSON,national education longitudinal study,0
75,1,Kaufman,499,506,PERSON,national education longitudinal study,0
76,1,1998,508,512,DATE,national education longitudinal study,0
77,1,the 21 percent,553,567,PERCENT,national education longitudinal study,0
78,1,1988,571,575,DATE,national education longitudinal study,0
79,1,eighth,576,582,ORDINAL,national education longitudinal study,0
80,1,eighth,648,654,ORDINAL,national education longitudinal study,0
81,1,the spring of 1994,665,683,DATE,national education longitudinal study,0
82,1,2 years,685,692,DATE,national education longitudinal study,0
83,1,1,781,782,CARDINAL,national education longitudinal study,0
84,1,about 44 percent,799,815,PERCENT,national education longitudinal study,0
85,1,1994,913,917,DATE,national education longitudinal study,0
86,1,the 56 percent,922,936,PERCENT,national education longitudinal study,0
87,1,1994,990,994,DATE,national education longitudinal study,0
88,1,43 percent,996,1006,PERCENT,national education longitudinal study,0
89,1,Geis,1104,1108,PERSON,national education longitudinal study,0
90,1,Kaufman,1114,1121,PERSON,national education longitudinal study,0
91,1,NELS:88,1140,1147,ORG,national education longitudinal study,0
92,1,another 6 years,1155,1170,DATE,national education longitudinal study,0
93,1,the year 2000-8 years,1261,1282,DATE,national education longitudinal study,0
94,1,GED,1522,1525,ORG,national education longitudinal study,0
95,1,GED,1612,1615,ORG,national education longitudinal study,0
96,1,1994,1635,1639,DATE,national education longitudinal study,0
97,1,2000,1643,1647,DATE,national education longitudinal study,0
98,1,4 consecutive weeks,1870,1889,DATE,national education longitudinal study,0
99,1,Ingels et al.,1980,1993,ORG,national education longitudinal study,0
100,1,1988,2017,2021,DATE,national education longitudinal study,0
101,1,eighth,2022,2028,CARDINAL,national education longitudinal study,0
102,1,first,2105,2110,ORDINAL,national education longitudinal study,0
103,1,1,2137,2138,CARDINAL,national education longitudinal study,0
104,1,NELS,2235,2239,ORG,national education longitudinal study,0
105,1,third,2240,2245,ORDINAL,national education longitudinal study,0
106,1,spring 1994,2259,2270,DATE,national education longitudinal study,0
107,1,2,2272,2273,CARDINAL,national education longitudinal study,0
108,1,NELS,2363,2367,ORG,national education longitudinal study,0
109,1,third,2368,2373,ORDINAL,national education longitudinal study,0
110,1,NELS,2392,2396,ORG,national education longitudinal study,0
111,1,fourth,2397,2403,ORDINAL,national education longitudinal study,0
112,1,spring 2000,2417,2428,DATE,national education longitudinal study,0
113,1,first,2573,2578,ORDINAL,national education longitudinal study,0
114,1,GED,2691,2694,ORG,national education longitudinal study,0
115,1,U.S. Department of Education,2783,2811,ORG,national education longitudinal study,0
116,1,National Center for Education Statistics,2813,2853,ORG,national education longitudinal study,0
117,1,National Education Longitudinal Study of 1988,2855,2900,ORG,national education longitudinal study,1
118,1,Geis,3017,3021,PERSON,national education longitudinal study,0
119,1,Kaufman,3027,3034,PERSON,national education longitudinal study,0
120,1,1998,3036,3040,DATE,national education longitudinal study,0
121,1,About 92 percent,3095,3111,PERCENT,national education longitudinal study,0
122,1,NELS,3115,3119,ORG,national education longitudinal study,0
123,1,1988,3120,3124,DATE,national education longitudinal study,0
124,1,eighth,3125,3131,ORDINAL,national education longitudinal study,0
125,1,spring 2000,3218,3229,DATE,national education longitudinal study,0
126,1,88 percent,3231,3241,PERCENT,national education longitudinal study,0
127,1,spring 1994,3303,3314,DATE,national education longitudinal study,0
128,1,an additional 4 percent,3320,3343,PERCENT,national education longitudinal study,0
129,1,spring 1994,3357,3368,DATE,national education longitudinal study,0
130,1,spring 2000,3376,3387,DATE,national education longitudinal study,0
131,1,1,3395,3396,CARDINAL,national education longitudinal study,0
132,1,1988,3418,3422,DATE,national education longitudinal study,0
133,1,eighth,3423,3429,CARDINAL,national education longitudinal study,0
134,1,20 percent,3444,3454,PERCENT,national education longitudinal study,0
135,1,"about 587,000",3455,3468,CARDINAL,national education longitudinal study,0
136,1,43 percent,3583,3593,PERCENT,national education longitudinal study,0
137,1,spring 1994,3652,3663,DATE,national education longitudinal study,0
138,1,14 percent,3665,3675,PERCENT,national education longitudinal study,0
139,1,29 percent,3709,3719,PERCENT,national education longitudinal study,0
140,1,GED,3729,3732,ORG,national education longitudinal study,0
141,1,An additional 20 percent,3750,3774,PERCENT,national education longitudinal study,0
142,1,spring 1994,3836,3847,DATE,national education longitudinal study,0
143,1,spring 2000,3855,3866,DATE,national education longitudinal study,0
144,1,5 percent,3868,3877,PERCENT,national education longitudinal study,0
145,1,15 percent,3911,3921,PERCENT,national education longitudinal study,0
146,1,GED,3931,3934,ORG,national education longitudinal study,0
147,1,63 percent,3958,3968,PERCENT,national education longitudinal study,0
148,1,2000,4041,4045,DATE,national education longitudinal study,0
149,1,Forty-four percent,4047,4065,PERCENT,national education longitudinal study,0
150,1,GED,4132,4135,ORG,national education longitudinal study,0
151,1,19 percent,4155,4165,PERCENT,national education longitudinal study,0
152,1,2000,4186,4190,DATE,national education longitudinal study,0
153,1,2000,4198,4202,DATE,national education longitudinal study,0
154,1,37 percent,4204,4214,PERCENT,national education longitudinal study,0
155,1,5 percent,4296,4305,PERCENT,national education longitudinal study,0
156,1,32 percent,4373,4383,PERCENT,national education longitudinal study,0
157,1,6,4456,4457,CARDINAL,national education longitudinal study,0
158,1,Geis,4484,4488,PERSON,national education longitudinal study,0
159,1,Kaufman,4494,4501,PERSON,national education longitudinal study,0
160,1,1998,4505,4509,DATE,national education longitudinal study,0
161,1,1994,4559,4563,DATE,national education longitudinal study,0
162,1,eighth,4634,4640,CARDINAL,national education longitudinal study,0
163,1,2000,4841,4845,DATE,national education longitudinal study,0
164,1,2,4865,4866,CARDINAL,national education longitudinal study,0
165,1,7 percent,4868,4877,PERCENT,national education longitudinal study,0
166,1,quarter,4946,4953,CARDINAL,national education longitudinal study,0
167,1,1988,4957,4961,DATE,national education longitudinal study,0
168,1,2000,5000,5004,DATE,national education longitudinal study,0
169,1,43 percent,5006,5016,PERCENT,national education longitudinal study,0
170,1,NELS,5035,5039,ORG,national education longitudinal study,0
171,1,the bottom quarter,5092,5110,DATE,national education longitudinal study,0
172,1,26 percent,5228,5238,PERCENT,national education longitudinal study,0
173,1,16 percent,5286,5296,PERCENT,national education longitudinal study,0
174,1,the highest quarter,5323,5342,DATE,national education longitudinal study,0
175,1,eighth,5369,5375,ORDINAL,national education longitudinal study,0
176,1,2000,5526,5530,DATE,national education longitudinal study,0
177,1,2,5603,5604,CARDINAL,national education longitudinal study,0
178,1,some 50 percent,5606,5621,PERCENT,national education longitudinal study,0
179,1,eighth,5650,5656,ORDINAL,national education longitudinal study,0
180,1,2000,5775,5779,DATE,national education longitudinal study,0
181,1,25 percent,5794,5804,PERCENT,national education longitudinal study,0
182,1,eighth,5833,5839,ORDINAL,national education longitudinal study,0
183,1,2000,5966,5970,DATE,national education longitudinal study,0
184,1,2000,5975,5979,DATE,national education longitudinal study,0
185,1,23 percent,5981,5991,PERCENT,national education longitudinal study,0
186,1,eighth,6020,6026,ORDINAL,national education longitudinal study,0
187,1,44 percent,6173,6183,PERCENT,national education longitudinal study,0
188,1,eighth,6212,6218,ORDINAL,national education longitudinal study,0
189,1,2000,6345,6349,DATE,national education longitudinal study,0
190,1,43 percent,6351,6361,PERCENT,national education longitudinal study,0
191,1,3,6482,6483,CARDINAL,national education longitudinal study,0
192,1,13 percent,6506,6516,PERCENT,national education longitudinal study,0
193,1,first,6526,6531,ORDINAL,national education longitudinal study,0
194,1,4-year,6547,6553,CARDINAL,national education longitudinal study,0
195,1,58 percent,6567,6577,PERCENT,national education longitudinal study,0
196,1,29 percent,6642,6652,PERCENT,national education longitudinal study,0
197,1,spring 1994,6763,6774,DATE,national education longitudinal study,0
198,1,spring 1994,6873,6884,DATE,national education longitudinal study,0
199,1,spring 2000,6892,6903,DATE,national education longitudinal study,0
200,1,66 percent,6905,6915,PERCENT,national education longitudinal study,0
201,1,45 percent,6930,6940,PERCENT,national education longitudinal study,0
202,1,Fifteen percent,6943,6958,PERCENT,national education longitudinal study,0
203,1,2000,7044,7048,DATE,national education longitudinal study,0
204,1,9 percent,7139,7148,PERCENT,national education longitudinal study,0
205,1,first,7158,7163,ORDINAL,national education longitudinal study,0
206,1,4-year,7179,7185,CARDINAL,national education longitudinal study,0
207,1,38 percent,7199,7209,PERCENT,national education longitudinal study,0
208,1,54 percent,7246,7256,PERCENT,national education longitudinal study,0
209,1,27 percent,7346,7356,PERCENT,national education longitudinal study,0
210,1,9 percent,7403,7412,PERCENT,national education longitudinal study,0
211,1,spring 2000,7467,7478,DATE,national education longitudinal study,0
212,1,Issue Brief,7541,7552,WORK_OF_ART,national education longitudinal study,0
213,1,several years,7700,7713,DATE,national education longitudinal study,0
214,1,63 percent,7715,7725,PERCENT,national education longitudinal study,0
215,1,43 percent,7776,7786,PERCENT,national education longitudinal study,0
216,1,2000,8048,8052,DATE,national education longitudinal study,0
217,1,a later date,8181,8193,DATE,national education longitudinal study,0
218,1,NELS,8221,8225,ORG,national education longitudinal study,0
219,1,2,8384,8385,CARDINAL,national education longitudinal study,0
220,1,1988,8391,8395,DATE,national education longitudinal study,0
221,1,eighth,8396,8402,ORDINAL,national education longitudinal study,0
222,1,2000,8562,8566,CARDINAL,national education longitudinal study,0
223,1,1,8598,8599,CARDINAL,national education longitudinal study,0
224,1,NELS,8696,8700,ORG,national education longitudinal study,0
225,1,third,8701,8706,ORDINAL,national education longitudinal study,0
226,1,spring 1994,8720,8731,DATE,national education longitudinal study,0
227,1,2,8733,8734,CARDINAL,national education longitudinal study,0
228,1,NELS,8824,8828,ORG,national education longitudinal study,0
229,1,third,8829,8834,ORDINAL,national education longitudinal study,0
230,1,NELS,8853,8857,ORG,national education longitudinal study,0
231,1,fourth,8858,8864,ORDINAL,national education longitudinal study,0
232,1,spring 2000,8878,8889,DATE,national education longitudinal study,0
233,1,first,9034,9039,ORDINAL,national education longitudinal study,0
234,1,GED,9152,9155,ORG,national education longitudinal study,0
235,1,U.S. Department of Education,9244,9272,ORG,national education longitudinal study,0
236,1,National Center for Education Statistics,9274,9314,ORG,national education longitudinal study,0
237,1,National Education,9316,9334,ORG,national education longitudinal study,0
238,1,about 5 percent,9381,9396,PERCENT,national education longitudinal study,0
239,1,1988,9404,9408,DATE,national education longitudinal study,0
240,1,eighth,9409,9415,ORDINAL,national education longitudinal study,0
241,1,English,9511,9518,LANGUAGE,national education longitudinal study,0
242,1,Spencer et al.,9702,9716,PERSON,national education longitudinal study,0
243,1,1990,9718,9722,DATE,national education longitudinal study,0
244,1,Ingels (1996,9728,9740,ORG,national education longitudinal study,0
245,1,2,9744,9745,CARDINAL,national education longitudinal study,0
246,1,8,9830,9831,CARDINAL,national education longitudinal study,0
247,1,NELS:88,9857,9864,ORG,national education longitudinal study,0
248,1,base-year,9865,9874,DATE,national education longitudinal study,0
249,1,first,9911,9916,ORDINAL,national education longitudinal study,0
250,1,second,9918,9924,ORDINAL,national education longitudinal study,0
251,1,third,9926,9931,ORDINAL,national education longitudinal study,0
252,1,fourth,9937,9943,ORDINAL,national education longitudinal study,0
253,1,"10,827",9987,9993,CARDINAL,national education longitudinal study,0
254,1,approximately 2.9 million,10018,10043,CARDINAL,national education longitudinal study,0
255,1,the United States,10061,10078,GPE,national education longitudinal study,0
256,1,the year 2000,10082,10095,DATE,national education longitudinal study,0
257,1,8,10120,10121,CARDINAL,national education longitudinal study,0
258,1,1988,10141,10145,DATE,national education longitudinal study,0
259,1,Berktold,10193,10201,GPE,national education longitudinal study,0
260,1,Geis,10203,10207,PERSON,national education longitudinal study,0
261,1,Kaufman,10213,10220,PERSON,national education longitudinal study,0
262,1,1998,10224,10228,DATE,national education longitudinal study,0
263,1,3,10281,10282,CARDINAL,national education longitudinal study,0
264,1,3,10366,10367,CARDINAL,national education longitudinal study,0
265,2,"Benz, Doren",433,444,ORG,national education longitudinal study,0
266,2,& Yovanoff,446,456,ORG,national education longitudinal study,0
267,2,1998,458,462,DATE,national education longitudinal study,0
268,2,Doren & Benz,464,476,ORG,national education longitudinal study,0
269,2,2001,478,482,DATE,national education longitudinal study,0
270,2,Fulton & Sabornie,484,501,ORG,national education longitudinal study,0
271,2,1994,503,507,DATE,national education longitudinal study,0
272,2,Hasazi,509,515,ORG,national education longitudinal study,0
273,2,"Gordon, & Roe",517,530,ORG,national education longitudinal study,0
274,2,1985,532,536,DATE,national education longitudinal study,0
275,2,Lindstrom,538,547,ORG,national education longitudinal study,0
276,2,"Benz, & Doren",549,562,ORG,national education longitudinal study,0
277,2,2004,564,568,DATE,national education longitudinal study,0
278,2,Oswald,570,576,GPE,national education longitudinal study,0
279,2,Coutinho,578,586,PERSON,national education longitudinal study,0
280,2,& Nagle,594,601,ORG,national education longitudinal study,0
281,2,2002,603,607,DATE,national education longitudinal study,0
282,2,Sitlington & Frank,609,627,ORG,national education longitudinal study,0
283,2,1985,629,633,DATE,national education longitudinal study,0
284,2,Wagner,635,641,ORG,national education longitudinal study,0
285,2,Cameto,643,649,ORG,national education longitudinal study,0
286,2,2003,661,665,DATE,national education longitudinal study,0
287,2,NCLB,951,955,ORG,national education longitudinal study,0
288,2,recent years,1241,1253,DATE,national education longitudinal study,0
289,2,National Education Longitudinal Study of 1988,1305,1350,ORG,national education longitudinal study,1
290,2,the U.S. Department of Education,2146,2178,ORG,national education longitudinal study,0
291,2,DOE,2180,2183,ORG,national education longitudinal study,0
292,2,DOE,2282,2285,ORG,national education longitudinal study,0
293,2,52.6%,2397,2402,PERCENT,national education longitudinal study,0
294,2,1995-1996,2406,2415,DATE,national education longitudinal study,0
295,2,56.2%,2419,2424,PERCENT,national education longitudinal study,0
296,2,1999-2000,2428,2437,DATE,national education longitudinal study,0
297,2,U.S. Department of Education,2529,2557,ORG,national education longitudinal study,0
298,2,2002,2559,2563,DATE,national education longitudinal study,0
299,2,Stephenson & Burge,3243,3261,ORG,national education longitudinal study,0
300,2,1997,3263,3267,DATE,national education longitudinal study,0
301,2,U.S. Department of Labor,3270,3294,ORG,national education longitudinal study,0
302,2,2004,3296,3300,DATE,national education longitudinal study,0
303,2,1994,3767,3771,DATE,national education longitudinal study,0
304,2,the Individuals with Disabilities Education Act (,4007,4056,ORG,national education longitudinal study,0
305,2,1990,4065,4069,DATE,national education longitudinal study,0
306,2,The National Education Longitudinal Study (,4071,4114,ORG,national education longitudinal study,1
307,2,NELS,4114,4118,ORG,national education longitudinal study,0
308,2,the National Center for Education Statistics,4146,4190,ORG,national education longitudinal study,0
309,2,NCES,4192,4196,ORG,national education longitudinal study,0
310,2,NCES,4422,4426,ORG,national education longitudinal study,0
311,2,1994,4428,4432,DATE,national education longitudinal study,0
312,2,2,4437,4438,CARDINAL,national education longitudinal study,0
313,2,12th,4467,4471,ORDINAL,national education longitudinal study,0
314,2,the National Longitudinal Study of the high,4488,4531,ORG,national education longitudinal study,0
315,2,1972,4548,4552,DATE,national education longitudinal study,0
316,2,the 1980s,4574,4583,DATE,national education longitudinal study,0
317,2,10th-and,4651,4659,DATE,national education longitudinal study,0
318,2,12th,4660,4664,ORDINAL,national education longitudinal study,0
319,2,eighth,4766,4772,ORDINAL,national education longitudinal study,0
320,2,1988,4782,4786,DATE,national education longitudinal study,0
321,2,1990,4821,4825,DATE,national education longitudinal study,0
322,2,1992,4827,4831,DATE,national education longitudinal study,0
323,2,1994,4837,4841,DATE,national education longitudinal study,0
324,2,1994,4967,4971,DATE,national education longitudinal study,0
325,2,fourth,5004,5010,ORDINAL,national education longitudinal study,0
326,2,2000,5035,5039,DATE,national education longitudinal study,0
327,2,The base year (1988,5226,5245,DATE,national education longitudinal study,0
328,2,two,5276,5279,CARDINAL,national education longitudinal study,0
329,2,eighth,5364,5370,CARDINAL,national education longitudinal study,0
330,2,first,5403,5408,ORDINAL,national education longitudinal study,0
331,2,"1,052",5423,5428,CARDINAL,national education longitudinal study,0
332,2,815,5452,5455,CARDINAL,national education longitudinal study,0
333,2,237,5475,5478,CARDINAL,national education longitudinal study,0
334,2,second,5500,5506,ORDINAL,national education longitudinal study,0
335,2,"26,432",5572,5578,CARDINAL,national education longitudinal study,0
336,2,"24,599",5623,5629,CARDINAL,national education longitudinal study,0
337,2,1988,5650,5654,DATE,national education longitudinal study,0
338,2,1994,5678,5682,DATE,national education longitudinal study,0
339,2,Three,5686,5691,CARDINAL,national education longitudinal study,0
340,2,1994,5807,5811,DATE,national education longitudinal study,0
341,2,2 years,5843,5850,DATE,national education longitudinal study,0
342,2,the base year,5906,5919,DATE,national education longitudinal study,0
343,2,1994,6168,6172,DATE,national education longitudinal study,0
344,2,NELS,6187,6191,ORG,national education longitudinal study,0
345,2,year,6272,6276,DATE,national education longitudinal study,0
346,2,1994,6286,6290,DATE,national education longitudinal study,0
347,2,"13,391",6321,6327,CARDINAL,national education longitudinal study,0
348,2,"6,526",6373,6378,CARDINAL,national education longitudinal study,0
349,2,"6,865",6389,6394,CARDINAL,national education longitudinal study,0
350,2,7.0%,6466,6470,PERCENT,national education longitudinal study,0
351,2,Asian/Pacific Islander,6471,6493,ORG,national education longitudinal study,0
352,2,939,6503,6506,CARDINAL,national education longitudinal study,0
353,2,10.8%,6509,6514,PERCENT,national education longitudinal study,0
354,2,BK,6522,6524,ORG,national education longitudinal study,0
355,2,"1,452",6530,6535,CARDINAL,national education longitudinal study,0
356,2,13.5%,6538,6543,PERCENT,national education longitudinal study,0
357,2,Hispanic,6544,6552,NORP,national education longitudinal study,0
358,2,"1,813",6562,6567,CARDINAL,national education longitudinal study,0
359,2,68.6%,6574,6579,PERCENT,national education longitudinal study,0
360,2,"9,187",6595,6600,CARDINAL,national education longitudinal study,0
361,2,Native American,6603,6618,NORP,national education longitudinal study,0
362,2,286,6749,6752,CARDINAL,national education longitudinal study,0
363,2,the base year,6785,6798,DATE,national education longitudinal study,0
364,2,NELS,6820,6824,ORG,national education longitudinal study,0
365,2,four,6850,6854,CARDINAL,national education longitudinal study,0
366,2,LA,6909,6911,GPE,national education longitudinal study,0
367,2,TA,6935,6937,ORG,national education longitudinal study,0
368,2,"1,931",6987,6992,CARDINAL,national education longitudinal study,0
369,2,first,7023,7028,ORDINAL,national education longitudinal study,0
370,2,eighth,7128,7134,ORDINAL,national education longitudinal study,0
371,2,more than one,7587,7600,CARDINAL,national education longitudinal study,0
372,2,832,7649,7652,CARDINAL,national education longitudinal study,0
373,2,43.1%,7670,7675,PERCENT,national education longitudinal study,0
374,2,"1,099",7681,7686,CARDINAL,national education longitudinal study,0
375,2,56.9%,7702,7707,PERCENT,national education longitudinal study,0
376,2,"1,503",7727,7732,CARDINAL,national education longitudinal study,0
377,2,eighth,7866,7872,ORDINAL,national education longitudinal study,0
378,2,Forty-six percent,7933,7950,PERCENT,national education longitudinal study,0
379,2,"3,015",8166,8171,CARDINAL,national education longitudinal study,0
380,2,51%,8174,8177,PERCENT,national education longitudinal study,0
381,2,"6,942",8251,8256,CARDINAL,national education longitudinal study,0
382,2,46%,8259,8262,PERCENT,national education longitudinal study,0
383,2,U.S.,8274,8278,GPE,national education longitudinal study,0
384,2,the year 2000,8295,8308,DATE,national education longitudinal study,0
385,2,49.1%,8366,8371,PERCENT,national education longitudinal study,0
386,2,Smith & Spraggins,8378,8395,ORG,national education longitudinal study,0
387,2,2001,8397,8401,DATE,national education longitudinal study,0
388,2,Twenty-four,8405,8416,CARDINAL,national education longitudinal study,0
389,2,1994,8450,8454,DATE,national education longitudinal study,0
390,2,Lee,8800,8803,PERSON,national education longitudinal study,0
391,2,Chen,8805,8809,PERSON,national education longitudinal study,0
392,2,1996,8822,8826,DATE,national education longitudinal study,0
393,2,Oswald,8828,8834,GPE,national education longitudinal study,0
394,2,Coutinho,8836,8844,PERSON,national education longitudinal study,0
395,2,& Nagle,8852,8859,ORG,national education longitudinal study,0
396,2,2002,8861,8865,DATE,national education longitudinal study,0
397,2,1,9010,9011,CARDINAL,national education longitudinal study,0
398,2,2,9056,9057,CARDINAL,national education longitudinal study,0
399,2,Postschool Education and Aspirations,9061,9097,ORG,national education longitudinal study,0
400,2,3,9105,9106,CARDINAL,national education longitudinal study,0
401,2,Postschool Demographic Outcomes,9110,9141,PERSON,national education longitudinal study,0
402,2,4,9149,9150,CARDINAL,national education longitudinal study,0
403,2,Postschool Attitudes,9154,9174,PERSON,national education longitudinal study,0
404,2,5,9182,9183,CARDINAL,national education longitudinal study,0
405,2,Community Engagement and Crime Involvement Outcomes,9191,9242,ORG,national education longitudinal study,0
406,2,6,9250,9251,CARDINAL,national education longitudinal study,0
407,2,hours,9316,9321,TIME,national education longitudinal study,0
408,2,the past 12 months,9405,9423,DATE,national education longitudinal study,0
409,2,two,9539,9542,CARDINAL,national education longitudinal study,0
410,2,first,9612,9617,ORDINAL,national education longitudinal study,0
411,2,LA,9739,9741,GPE,national education longitudinal study,0
412,2,TA,9743,9745,GPE,national education longitudinal study,0
413,2,Asian,9772,9777,NORP,national education longitudinal study,0
414,2,Hispanic,9779,9787,NORP,national education longitudinal study,0
415,2,first,9875,9880,ORDINAL,national education longitudinal study,0
416,2,four,10091,10095,CARDINAL,national education longitudinal study,0
417,2,0.20,10288,10292,CARDINAL,national education longitudinal study,0
418,2,second,10349,10355,ORDINAL,national education longitudinal study,0
419,2,second,10366,10372,ORDINAL,national education longitudinal study,0
420,2,22,10512,10514,CARDINAL,national education longitudinal study,0
421,2,hours,11166,11171,TIME,national education longitudinal study,0
422,2,SE,11265,11267,GPE,national education longitudinal study,0
423,2,LA,11269,11271,GPE,national education longitudinal study,0
424,2,TA,11273,11275,GPE,national education longitudinal study,0
425,2,Oswald,11290,11296,GPE,national education longitudinal study,0
426,2,"Coutinho, & Best",11298,11314,ORG,national education longitudinal study,0
427,2,second,11740,11746,ORDINAL,national education longitudinal study,0
428,2,one,11906,11909,CARDINAL,national education longitudinal study,0
429,2,second,12124,12130,ORDINAL,national education longitudinal study,0
430,2,SE,12408,12410,ORG,national education longitudinal study,0
431,2,LA,12415,12417,GPE,national education longitudinal study,0
432,2,TA,12437,12439,LOC,national education longitudinal study,0
433,2,LA,12482,12484,GPE,national education longitudinal study,0
434,2,one,12505,12508,CARDINAL,national education longitudinal study,0
435,2,TA,12519,12521,ORG,national education longitudinal study,0
436,2,second,12546,12552,ORDINAL,national education longitudinal study,0
437,2,Three,12584,12589,CARDINAL,national education longitudinal study,0
438,2,months,12678,12684,DATE,national education longitudinal study,0
439,2,between June 1992 and,12694,12715,DATE,national education longitudinal study,0
440,2,August 1994,12716,12727,DATE,national education longitudinal study,0
441,2,hours,12741,12746,TIME,national education longitudinal study,0
442,2,1,12774,12775,CARDINAL,national education longitudinal study,0
443,2,2,12883,12884,CARDINAL,national education longitudinal study,0
444,2,5,12886,12887,CARDINAL,national education longitudinal study,0
445,2,"13,391",12889,12895,CARDINAL,national education longitudinal study,0
446,2,512,12899,12902,CARDINAL,national education longitudinal study,0
447,2,four,12978,12982,CARDINAL,national education longitudinal study,0
448,2,2,12993,12994,CARDINAL,national education longitudinal study,0
449,2,15,12996,12998,CARDINAL,national education longitudinal study,0
450,2,"13,391",13000,13006,CARDINAL,national education longitudinal study,0
451,2,18,13010,13012,CARDINAL,national education longitudinal study,0
452,2,months,13330,13336,DATE,national education longitudinal study,0
453,2,four,13420,13424,CARDINAL,national education longitudinal study,0
